5bd44da2-81e3-404c-a327-d118ce3ad2dc,381e3f6a-8887-4a1a-8a7d-afca9afe1367,4fyNsDO9j3kOZ7vAONK,20241109T185458.000,$72.27,Manager
c50b2512-d8c6-4763-a8cb-8ab25f90caa5,0897c42a-f69e-4f14-8d66-09399a98af6c,uuPsTrMPzr4C,20241109T174737.000,$521.41,Clerk
88408ddb-65f8-4d94-90c6-658fcfb38bb3,f7cdea58-5b5f-4066-91ae-47dbccdd95b4,J2KdzgSkdn0qE,20241109T092847.000,$335.32,Supervisor
edb34e1d-9e1f-4f19-bf82-801142ca1a86,e6cb2e74-5bb4-4ea9-8f9e-5ffee6966326,xN3qlJqprE9Nvxl,20241109T212713.000,$419.67,Supervisor
INVALID_TOKEN,not-a-uuid,AB,NOT_A_TIMESTAMP,NOT_MONEY,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
5bd44da2-81e3-404c-a327-d118ce3ad2dc,381e3f6a-8887-4a1a-8a7d-afca9afe1367,4fyNsDO9j3kOZ7vAONK,20241109T185458.000,$168.15,Manager
c50b2512-d8c6-4763-a8cb-8ab25f90caa5,f017cc08-46eb-4ec3-b3bf-bbc7c8c67538,wbAhw3R9MmKKP,20241109T114918.000,$355.75,Admin
5bd44da2-81e3-404c-a327-d118ce3ad2dc,d288dd19-4758-45ff-bf1a-32585e1e6e78,lAFi5,20241109T223446.000,$316.41,Clerk
c50b2512-d8c6-4763-a8cb-8ab25f90caa5,550ad943-4f0d-4750-a142-a83f3927994e,rClKiKRo0gUrZpJB2,20241109T181209.000,$800.23,Manager
461a4075-effb-42c4-9690-0d5dd7c60670,cf548ef7-c888-4a2c-8584-5655ca4fdd7c,E8IcGwz3RXlDhSHDuS,20241109T060043.000,$211.54,Admin
