store_token,transaction_id,receipt_token,transaction_time,amount,user_role
edb34e1d-9e1f-4f19-bf82-801142ca1a86,05bbb614-1654-41b2-83ca-3dd1f852662b,x7uiy,20241025T192334.000,$683.25,Clerk
88408ddb-65f8-4d94-90c6-658fcfb38bb3,0b0695f3-7485-47d0-92e5-dcae4ec3305a,Y5Y9pF,20241025T180715.000,$500.08,Admin
399c6ffe-8418-4ba8-ac16-aa675044f5af,08c410c2-c4aa-4222-a033-6db5610eb3c8,EeoyfUZgg,20241025T162356.000,$299.95,Clerk
099cea46-2406-48e9-86e3-df66b4570f28,1be4d2e8-4c37-451a-a4ac-8d6d68b941f9,eHKaNPkCw,20241025T124047.000,$152.22,Clerk
88408ddb-65f8-4d94-90c6-658fcfb38bb3,acbc3267-b7cf-4e03-916d-f9e342c25586,22Q4t,20241025T123338.000,$510.01,Clerk
edb34e1d-9e1f-4f19-bf82-801142ca1a86,7f83c2a7-5416-4a64-955c-2e56b68c46f3,anEeiLoH,20241025T200000.000,$17.67,Cashier
INVALID_TOKEN,not-a-uuid,AB,NOT_A_TIMESTAMP,NOT_MONEY,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
f3ece2c4-93c4-4ddb-bf0f-f246b9b2c1f0,122e3bbc-bb9f-48da-ae41-d95c59687294,3nf5giWhLUyw9BuYipr,20241025T081535.000,$601.39,Admin
88408ddb-65f8-4d94-90c6-658fcfb38bb3,b74e9d0b-7d60-429a-9963-76bf9a28dc89,xQ5Pkdz,20241025T154644.000,$755.47,Clerk
edb34e1d-9e1f-4f19-bf82-801142ca1a86,7f83c2a7-5416-4a64-955c-2e56b68c46f3,anEeiLoH,20241025T200000.000,$695.89,Cashier
