store_token,transaction_id,receipt_token,transaction_time,amount,user_role
f3ece2c4-93c4-4ddb-bf0f-f246b9b2c1f0,08f1855d-0bff-485f-a1dc-e4d751b9f6e1,klfN3yNRpF,20241009T101429.000,$638.26,Clerk
f3ece2c4-93c4-4ddb-bf0f-f246b9b2c1f0,974f3186-4b56-4da0-8071-0a8c0cccac72,6MVF15,20241009T154951.000,$230.89,Supervisor
099cea46-2406-48e9-86e3-df66b4570f28,c1b4b11d-1797-4974-bb1e-a504496e904e,HG6r1kq608E9ZsV3,20241009T165107.000,$468.86,Cashier
88408ddb-65f8-4d94-90c6-658fcfb38bb3,229c1aa8-696c-4d71-876b-80ef8865e82f,5ZD5s,20241009T110428.000,$945.28,Admin
88408ddb-65f8-4d94-90c6-658fcfb38bb3,229c1aa8-696c-4d71-876b-80ef8865e82f,5ZD5s,20241009T110428.000,$754.39,Admin
INVALID_TOKEN,not-a-uuid,AB,NOT_A_TIMESTAMP,NOT_MONEY,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
5bd44da2-81e3-404c-a327-d118ce3ad2dc,ec09bcbd-35f4-4e57-94fc-5c416b1c70ee,St5bcuYdsw,20241009T172709.000,$244.95,Clerk
926b0f75-18ed-4f00-9482-17d1f0018c26,22b75a4a-ed9e-42d6-811f-7cf9e86efcae,NqRWUXQR1iO,20241009T095740.000,$646.69,Supervisor
5bd44da2-81e3-404c-a327-d118ce3ad2dc,17d1e065-99e1-4e6c-a9b3-90072ef4e1c4,LxUif6,20241009T152047.000,$416.08,Manager
88408ddb-65f8-4d94-90c6-658fcfb38bb3,c1955154-43fc-4c00-b9a2-0e8fee9946ab,SqD2tmy2EgpyKwKsSs,20241009T065342.000,$396.41,Cashier
