store_token,transaction_id,receipt_token,transaction_time,amount,user_role
edb34e1d-9e1f-4f19-bf82-801142ca1a86,b3fb089c-fd2c-48cb-a347-4f55316e4ff9,Gxbxtl8nv8XFmoijes,20241013T093249.000,$540.23,Admin
461a4075-effb-42c4-9690-0d5dd7c60670,164e1c5c-ad16-4431-9b90-8248c2f43a8d,4XNiMyjkl1SXNZ5,20241013T114628.000,$44.65,Supervisor
649a4188-99c3-4e98-8b5e-79926169d9ff,d3dcaedc-ad95-4db9-8709-be59519f2236,9k0mZMi3qdPE3xJ7gT,20241013T225407.000,$285.78,Manager
INVALID_TOKEN,not-a-uuid,AB,NOT_A_TIMESTAMP,NOT_MONEY,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
c50b2512-d8c6-4763-a8cb-8ab25f90caa5,5e675f72-92ae-4f55-bb58-53d8386bfab1,9PSQziMT8ftJyP,20241013T165208.000,$670.44,Admin
461a4075-effb-42c4-9690-0d5dd7c60670,025467f4-b7b8-4516-a340-45feff4c8bea,TCCHHNkxx6sy,20241013T194921.000,$679.21,Cashier
5bd44da2-81e3-404c-a327-d118ce3ad2dc,60a21c9c-a616-4517-ae50-64f592f1f3eb,uMEGj9dCgZ5,20241013T164505.000,$505.04,Manager
926b0f75-18ed-4f00-9482-17d1f0018c26,ef02a24f-bc54-4a44-9fce-a96d87854be9,NsWVYCoIpt9ZYE51mxR,20241013T202949.000,$282.49,Clerk
c50b2512-d8c6-4763-a8cb-8ab25f90caa5,9b2a0bd2-36bd-4f51-8b1d-7d1c31b335c5,vgJRysq,20241013T102105.000,$583.15,Manager
edb34e1d-9e1f-4f19-bf82-801142ca1a86,b3fb089c-fd2c-48cb-a347-4f55316e4ff9,Gxbxtl8nv8XFmoijes,20241013T093249.000,$449.87,Admin
