store_token,transaction_id,receipt_token,transaction_time,amount,user_role
926b0f75-18ed-4f00-9482-17d1f0018c26,af1812e8-f171-4878-af03-641d2eeb8ec7,egMcCMRT3dp,20241019T072528.000,$235.10,Manager
461a4075-effb-42c4-9690-0d5dd7c60670,fd94983b-ec44-4fee-8f4f-80da1e552941,LecBwSeId75,20241019T085930.000,$32.70,Clerk
INVALID_TOKEN,not-a-uuid,AB,NOT_A_TIMESTAMP,NOT_MONEY,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
461a4075-effb-42c4-9690-0d5dd7c60670,9d0323ba-c235-4adb-b84e-83e315d1298c,Gso06UKuK,20241019T161519.000,$876.37,Admin
399c6ffe-8418-4ba8-ac16-aa675044f5af,28fcc2f0-afdb-468e-9318-7cf322b4c5ad,tylWIEp2o,20241019T155445.000,$145.21,Clerk
099cea46-2406-48e9-86e3-df66b4570f28,c2547e57-d4a3-458a-a0e6-71817b64b4a7,XPUP9Ax5y,20241019T205558.000,$906.85,Clerk
5bd44da2-81e3-404c-a327-d118ce3ad2dc,8ed48c67-2b95-44cb-9f32-c76ca5e6e026,Iy0opDwjrm74UWhcZQ,20241019T193949.000,$936.29,Cashier
edb34e1d-9e1f-4f19-bf82-801142ca1a86,1eece1fa-251b-4ece-ab00-7a23be0a3732,P3whlIzHi,20241019T135300.000,$756.42,Supervisor
461a4075-effb-42c4-9690-0d5dd7c60670,fd94983b-ec44-4fee-8f4f-80da1e552941,LecBwSeId75,20241019T085930.000,$562.82,Clerk
926b0f75-18ed-4f00-9482-17d1f0018c26,97c6e3c1-ff22-4ecb-aee6-b1e54205adae,trdJ8L4V6lORBJFdw8,20241019T185033.000,$319.41,Clerk
