store_token,transaction_id,receipt_token,transaction_time,amount,user_role
edb34e1d-9e1f-4f19-bf82-801142ca1a86,088d2add-1dc9-4f70-9e26-b6aff08f66cf,4mGh3RyHtAd32jimvAK5,20241031T200920.000,$862.52,Manager
399c6ffe-8418-4ba8-ac16-aa675044f5af,a12c856c-6361-4d37-b5b6-3731c2d5f8d6,9EyacImUx8a5uW1Hmb,20241031T064046.000,$249.57,Supervisor
926b0f75-18ed-4f00-9482-17d1f0018c26,0d5b6647-b958-4035-95fa-5a4153009155,HWp5dZ2ZZ,20241031T184220.000,$681.07,Cashier
926b0f75-18ed-4f00-9482-17d1f0018c26,117c7a0c-923f-4682-8f62-145bb2e653da,oV3tAY4vxqLsD2hE,20241031T075540.000,$583.99,Admin
edb34e1d-9e1f-4f19-bf82-801142ca1a86,34ee07ac-54e7-4f11-ac7b-95d8993ee87d,vOluOdaCrnWXkKWkFYWX,20241031T080839.000,$434.23,Clerk
5bd44da2-81e3-404c-a327-d118ce3ad2dc,e4aa3ab8-f4ba-4bdd-b12f-6481a78c4635,q6AzyVcLTK0mvU,20241031T134334.000,$638.67,Clerk
INVALID_TOKEN,not-a-uuid,AB,NOT_A_TIMESTAMP,NOT_MONEY,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
88408ddb-65f8-4d94-90c6-658fcfb38bb3,63cd88e3-732e-4226-8908-b1e2b2ab7007,gyGLtke0c,20241031T151829.000,$728.10,Admin
edb34e1d-9e1f-4f19-bf82-801142ca1a86,34ee07ac-54e7-4f11-ac7b-95d8993ee87d,vOluOdaCrnWXkKWkFYWX,20241031T080839.000,$434.27,Clerk
c50b2512-d8c6-4763-a8cb-8ab25f90caa5,ca4529d1-0e40-4e56-ac5b-e8369de97f66,2k1Q4JlsgEiVqU,20241031T114357.000,$336.29,Cashier
