store_token,transaction_id,receipt_token,transaction_time,amount,user_role
649a4188-99c3-4e98-8b5e-79926169d9ff,1b6dfd96-2f07-4150-a189-8f3e5e454f94,y6oHzw03wFYE4,20241106T063256.000,$139.83,Manager
edb34e1d-9e1f-4f19-bf82-801142ca1a86,47ba64da-cc56-435c-a9a0-4f7ee2ff35c0,2GOb0,20241106T184937.000,$890.90,Cashier
926b0f75-18ed-4f00-9482-17d1f0018c26,3cf04aa2-25e3-4305-8c41-9681ca7cc40e,GPrnjlk,20241106T173845.000,$817.13,Manager
461a4075-effb-42c4-9690-0d5dd7c60670,298438c7-8565-433f-87cf-bbd274996920,WFoeqxocQnH6,20241106T172430.000,$917.97,Cashier
461a4075-effb-42c4-9690-0d5dd7c60670,3179f52b-a773-4eda-b783-02974f4f0f76,gT9HO1r1VqLIKly,20241106T182337.000,$653.68,Cashier
649a4188-99c3-4e98-8b5e-79926169d9ff,7476f91b-0e88-4ea7-b59a-7fe9e1e60d9d,I5IEPXjxzo5XL,20241106T150829.000,$501.62,Cashier
399c6ffe-8418-4ba8-ac16-aa675044f5af,02a89af7-198f-4f48-9432-80b25a7ddc50,UhEREEnLkP1Abpc,20241106T103637.000,$161.97,Admin
INVALID_TOKEN,not-a-uuid,AB,NOT_A_TIMESTAMP,NOT_MONEY,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
edb34e1d-9e1f-4f19-bf82-801142ca1a86,47ba64da-cc56-435c-a9a0-4f7ee2ff35c0,2GOb0,20241106T184937.000,$213.55,Cashier
399c6ffe-8418-4ba8-ac16-aa675044f5af,5a39a27c-1c78-407b-b894-091b69efc306,GaQp29ZNRkWGiCkl,20241106T104746.000,$484.02,Supervisor
