store_token,transaction_id,receipt_token,transaction_time,amount,user_role
5bd44da2-81e3-404c-a327-d118ce3ad2dc,e215cf77-bbe2-424b-b85e-4028cdf7b81c,xvRhA,20241017T155057.000,$725.59,Cashier
5bd44da2-81e3-404c-a327-d118ce3ad2dc,e215cf77-bbe2-424b-b85e-4028cdf7b81c,xvRhA,20241017T155057.000,$681.50,Cashier
649a4188-99c3-4e98-8b5e-79926169d9ff,7dc8160e-903b-4ae9-9141-18e47514ff17,igNVLppdQ5HoO,20241017T130306.000,$413.88,Clerk
099cea46-2406-48e9-86e3-df66b4570f28,d4d2495b-a83e-4306-8d85-cd9fad364692,JuQEHyu9lD6,20241017T163422.000,$676.19,Supervisor
399c6ffe-8418-4ba8-ac16-aa675044f5af,67201ded-20b0-48ee-b916-abcdd3ad8e76,0w9XZjscs9Tfw7CPq,20241017T211312.000,$828.12,Supervisor
f3ece2c4-93c4-4ddb-bf0f-f246b9b2c1f0,0d5b339b-cdfb-4c28-a010-e6ace367c81d,m9prJto8tXsTnSTFuEwJ,20241017T141807.000,$573.90,Admin
edb34e1d-9e1f-4f19-bf82-801142ca1a86,bfe9b865-db34-4569-931a-42f7b460aab4,bCuAjASnAGX,20241017T215554.000,$736.09,Cashier
INVALID_TOKEN,not-a-uuid,AB,NOT_A_TIMESTAMP,NOT_MONEY,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
5bd44da2-81e3-404c-a327-d118ce3ad2dc,dc849127-f7f8-4fa6-8ea0-59d003c46933,jM5Giu7NukzNV1tLvG1,20241017T223431.000,$709.02,Supervisor
f3ece2c4-93c4-4ddb-bf0f-f246b9b2c1f0,2e1cfcd2-0d5c-4c63-8e93-83e94592d1cb,q9PYXLKoUdLEkHOUNX1y,20241017T105243.000,$242.95,Admin
