store_token,transaction_id,receipt_token,transaction_time,amount,user_role
f3ece2c4-93c4-4ddb-bf0f-f246b9b2c1f0,41aadf7d-1b77-4f26-b1c3-8875e9d9243e,Ggz0TYguJ,20241118T085019.000,$533.21,Clerk
edb34e1d-9e1f-4f19-bf82-801142ca1a86,c8be83ec-f81e-4421-a9e8-cc39006e43b2,tRPTXDEo8oj35Nq6xzl,20241118T165055.000,$882.51,Clerk
5bd44da2-81e3-404c-a327-d118ce3ad2dc,1e03d41c-057f-463f-8e64-1bee8ebf9954,eEhwE,20241118T205410.000,$282.97,Supervisor
f3ece2c4-93c4-4ddb-bf0f-f246b9b2c1f0,08ef0c5b-67d5-4855-991b-e11754a58063,hLMDuJg0Clt9zeMgR0MX,20241118T182031.000,$645.34,Cashier
f3ece2c4-93c4-4ddb-bf0f-f246b9b2c1f0,03b62e00-3f5a-47d6-a625-ac651119059b,pNpJkEyevn0SLBYBKY,20241118T163444.000,$432.28,Cashier
f3ece2c4-93c4-4ddb-bf0f-f246b9b2c1f0,03b62e00-3f5a-47d6-a625-ac651119059b,pNpJkEyevn0SLBYBKY,20241118T163444.000,$236.92,Cashier
88408ddb-65f8-4d94-90c6-658fcfb38bb3,899282cb-8677-4946-88fe-469bbd2fbbb1,x5J9da,20241118T170755.000,$282.92,Cashier
edb34e1d-9e1f-4f19-bf82-801142ca1a86,508b9af6-1146-47c6-971b-88f4f8ba19e5,0i4L5WOZaWj,20241118T102834.000,$292.21,Admin
f3ece2c4-93c4-4ddb-bf0f-f246b9b2c1f0,56a8e1be-618a-4677-beef-d28c9992d588,mnR4utKY6Rt687BT6wf,20241118T063932.000,$404.79,Manager
INVALID_TOKEN,not-a-uuid,AB,NOT_A_TIMESTAMP,NOT_MONEY,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
