store_token,transaction_id,receipt_token,transaction_time,amount,user_role
461a4075-effb-42c4-9690-0d5dd7c60670,7f011d44-ada4-485e-98c5-d994c0b5dd1f,P7kG2,20241102T215431.000,$869.54,Cashier
edb34e1d-9e1f-4f19-bf82-801142ca1a86,ed63e366-9190-4b68-b1eb-856552a61be0,VPbgzAcJJa0fYM9NOt4G,20241102T124142.000,$456.75,Supervisor
INVALID_TOKEN,not-a-uuid,AB,NOT_A_TIMESTAMP,NOT_MONEY,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
5bd44da2-81e3-404c-a327-d118ce3ad2dc,fa1bfe11-816b-432b-a9c5-8eed9a9acdf8,eqPuaT,20241102T224947.000,$577.07,Admin
5bd44da2-81e3-404c-a327-d118ce3ad2dc,d3c484c0-9234-4f29-8db6-4da288fdc4a9,pvrdGoJPyz0pfDC,20241102T200554.000,$498.95,Supervisor
c50b2512-d8c6-4763-a8cb-8ab25f90caa5,951e6203-014b-4f5f-90cd-19dcbd989f81,3R41U,20241102T103058.000,$896.97,Clerk
c50b2512-d8c6-4763-a8cb-8ab25f90caa5,951e6203-014b-4f5f-90cd-19dcbd989f81,3R41U,20241102T103058.000,$488.63,Clerk
c50b2512-d8c6-4763-a8cb-8ab25f90caa5,bb0d10df-7d8b-4e33-bb92-f9c633abbdb5,0o2DvJ,20241102T214542.000,$363.93,Clerk
926b0f75-18ed-4f00-9482-17d1f0018c26,7b50e892-1dd4-49d9-bf1f-2b650104c0df,HHSSNgBQUpEwQRP,20241102T180953.000,$826.60,Admin
edb34e1d-9e1f-4f19-bf82-801142ca1a86,f53aab99-c73c-43e7-86b4-f8629dd6be84,WQoavw1O,20241102T153533.000,$374.51,Cashier
