store_token,transaction_id,receipt_token,transaction_time,amount,user_role
88408ddb-65f8-4d94-90c6-658fcfb38bb3,b450db19-065e-415b-b5db-cee93c20faa1,X8KMf4djkWNdRfr,20241011T204227.000,$486.17,Clerk
INVALID_TOKEN,not-a-uuid,AB,NOT_A_TIMESTAMP,NOT_MONEY,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
461a4075-effb-42c4-9690-0d5dd7c60670,e6854370-45e7-4a77-accb-fc0fed52cd88,MtwgKGnjQEo2gw,20241011T170748.000,$279.29,Manager
c50b2512-d8c6-4763-a8cb-8ab25f90caa5,c96783d1-90aa-49f5-901b-ba4e834a5fcc,al3jKQzejVObfVHn,20241011T182629.000,$341.55,Supervisor
c50b2512-d8c6-4763-a8cb-8ab25f90caa5,bc46bc68-d0fe-4dc2-99f0-fa60ab68273c,zAUguBuQqx9jR7Eef1f,20241011T082706.000,$744.84,Supervisor
399c6ffe-8418-4ba8-ac16-aa675044f5af,cd161733-bb13-4c12-a2c8-3301709ff2f0,FT6Ce5fu,20241011T100408.000,$275.74,Admin
099cea46-2406-48e9-86e3-df66b4570f28,a3fe3ba8-d124-4cfd-9009-57003902ed4c,L9JJvQ,20241011T092622.000,$873.73,Clerk
399c6ffe-8418-4ba8-ac16-aa675044f5af,5a4a526e-c9b9-4010-bf3a-9fb9a2104d43,M7Q1S,20241011T140111.000,$273.99,Supervisor
649a4188-99c3-4e98-8b5e-79926169d9ff,6647ed13-1d86-43e4-b165-2f745185d581,yMHsDGMBgYSh2PP,20241011T122728.000,$888.19,Clerk
c50b2512-d8c6-4763-a8cb-8ab25f90caa5,c96783d1-90aa-49f5-901b-ba4e834a5fcc,al3jKQzejVObfVHn,20241011T182629.000,$273.89,Supervisor
