store_token,transaction_id,receipt_token,transaction_time,amount,user_role
f3ece2c4-93c4-4ddb-bf0f-f246b9b2c1f0,56ed7f4f-3c3f-4e30-b070-33f1d4150db0,WR0rK,20241007T074848.000,$916.15,Admin
5bd44da2-81e3-404c-a327-d118ce3ad2dc,2d9e70b2-8e74-4621-9917-99bb55a7bb97,scosTsS3DeRo7qYYOLQZ,20241007T122707.000,$545.01,Manager
5bd44da2-81e3-404c-a327-d118ce3ad2dc,54d659ef-cb01-4bf9-ae61-b59784cd9a44,Cvl9dq83Eh0ezFeKORdj,20241007T105136.000,$949.17,Cashier
88408ddb-65f8-4d94-90c6-658fcfb38bb3,ff597fab-ee5c-4179-beee-9dcbedd38d33,edkYtMV0K,20241007T152807.000,$469.22,Supervisor
INVALID_TOKEN,not-a-uuid,AB,NOT_A_TIMESTAMP,NOT_MONEY,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
f3ece2c4-93c4-4ddb-bf0f-f246b9b2c1f0,0ee62e95-9f64-4456-86e3-56ea820de0aa,tKNdN9Vg8WnOnqQfkp,20241007T113504.000,$157.37,Clerk
88408ddb-65f8-4d94-90c6-658fcfb38bb3,15edbcbb-ad7b-40cd-b3c0-363e4a8fccfe,dJsS8i,20241007T210655.000,$13.25,Supervisor
f3ece2c4-93c4-4ddb-bf0f-f246b9b2c1f0,56ed7f4f-3c3f-4e30-b070-33f1d4150db0,WR0rK,20241007T074848.000,$176.01,Admin
399c6ffe-8418-4ba8-ac16-aa675044f5af,d6e5e492-1240-492a-a4a4-85831272a816,GIFCfMc4BVuMq,20241007T060514.000,$961.94,Admin
926b0f75-18ed-4f00-9482-17d1f0018c26,cd036a4d-bbdd-4bb9-8fc9-72026418412b,JWAMMYNo,20241007T222428.000,$908.59,Supervisor
