store_token,transaction_id,receipt_token,transaction_time,amount,user_role
649a4188-99c3-4e98-8b5e-79926169d9ff,fcc3e105-c6f9-46d8-97a0-6b74ec9e7003,gUoIymmH,20241112T133640.000,$947.55,Admin
461a4075-effb-42c4-9690-0d5dd7c60670,fc7da19e-9997-4883-8ded-36ba91375cc9,JV84A0xYTd0NrHcU,20241112T085319.000,$78.86,Manager
649a4188-99c3-4e98-8b5e-79926169d9ff,618bc535-d1f6-4e4c-a46c-aef5f1f409b1,Ul4bN2xXNpuUeQ9I0,20241112T181233.000,$683.53,Admin
5bd44da2-81e3-404c-a327-d118ce3ad2dc,ec6a6f52-a114-4fb8-9716-25a1344f275d,5uJu2xAWOB0UuMpK,20241112T122449.000,$550.68,Supervisor
461a4075-effb-42c4-9690-0d5dd7c60670,57315cbd-8514-4bed-84bf-438185abf0f7,QFHNSLqdxoMTea76n,20241112T215956.000,$95.19,Clerk
INVALID_TOKEN,not-a-uuid,AB,NOT_A_TIMESTAMP,NOT_MONEY,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
099cea46-2406-48e9-86e3-df66b4570f28,855c1e35-096d-4ebe-a85a-71ba890d73b8,uAPuhgHQec18il,20241112T071206.000,$485.88,Cashier
461a4075-effb-42c4-9690-0d5dd7c60670,57315cbd-8514-4bed-84bf-438185abf0f7,QFHNSLqdxoMTea76n,20241112T215956.000,$832.24,Clerk
649a4188-99c3-4e98-8b5e-79926169d9ff,bc1326c8-7be2-4fb7-a241-b39cc2cbaa16,VgXOKwRDSQB4gkYlJz,20241112T222142.000,$159.02,Admin
c50b2512-d8c6-4763-a8cb-8ab25f90caa5,fabeb2d6-c24b-4d01-a044-dcf4a8308177,C9zaUcsMbHi4taton2u,20241112T064952.000,$943.40,Supervisor
